# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
23.992188	3.0764025e-44	1.7315609e-45	1.1224860e-43
24.000000	3.0687590e-44	1.7277575e-45	1.1191234e-43
24.007812	3.0611386e-44	1.7239831e-45	1.1157753e-43
24.015625	3.0535413e-44	1.7202192e-45	1.1124756e-43
24.023438	3.0459671e-44	1.7164655e-45	1.1092817e-43
24.031250	3.0382425e-44	1.7127222e-45	1.1061040e-43
24.039062	3.0305329e-44	1.7089892e-45	1.1028398e-43
24.046875	3.0228473e-44	1.7052665e-45	1.0996131e-43
24.054688	3.0151855e-44	1.7015540e-45	1.0964483e-43
24.062500	3.0075476e-44	1.6978516e-45	1.0932967e-43
24.070312	2.9999335e-44	1.6941595e-45	1.0901584e-43
24.078125	2.9923430e-44	1.6904775e-45	1.0870332e-43
24.085938	2.9847761e-44	1.6868056e-45	1.0839211e-43
24.093750	2.9772326e-44	1.6831437e-45	1.0808220e-43
24.101562	2.9697126e-44	1.6794919e-45	1.0777115e-43
24.109375	2.9622159e-44	1.6758501e-45	1.0745280e-43
24.117188	2.9547424e-44	1.6722183e-45	1.0713580e-43
24.125000	2.9472921e-44	1.6685964e-45	1.0682014e-43
24.132812	2.9398649e-44	1.6649844e-45	1.0650580e-43
24.140625	2.9325727e-44	1.6613823e-45	1.0619278e-43
24.148438	2.9253098e-44	1.6577901e-45	1.0588108e-43
24.156250	2.9180690e-44	1.6542077e-45	1.0557069e-43
24.164062	2.9108502e-44	1.6506350e-45	1.0526160e-43
24.171875	2.9036533e-44	1.6470721e-45	1.0495380e-43
24.179688	2.8964783e-44	1.6435190e-45	1.0464728e-43
24.187500	2.8893251e-44	1.6399755e-45	1.0434205e-43
24.195312	2.8821936e-44	1.6364418e-45	1.0403809e-43
24.203125	2.8750838e-44	1.6329176e-45	1.0373539e-43
24.210938	2.8679219e-44	1.6294031e-45	1.0343396e-43
24.218750	2.8607273e-44	1.6258981e-45	1.0313695e-43
24.226562	2.8535549e-44	1.6223373e-45	1.0284148e-43
24.234375	2.8464047e-44	1.6187755e-45	1.0254722e-43
24.242188	2.8392765e-44	1.6152236e-45	1.0225417e-43
24.250000	2.8321703e-44	1.6116815e-45	1.0196123e-43
